Термин,Определение
ABSOLUTE,Specifies an absolute position in a cursor operation.
ALIAS,Defines an alternative name for function parameters in PL/pgSQL.
ARRAY,"A collection of elements of the same type, declared using square brackets."
ASSERT,Checks if a condition is true; raises an error if false (debugging tool).
BACKWARD,Allows moving a cursor in reverse order through the result set.
CLOSE,Closes a previously opened cursor to release resources.
COLLATE,Specifies collation rules for string comparisons in queries.
COLUMN,Represents a field in a table used in PL/pgSQL queries.
COLUMN_NAME,The name of a column in a result set or table.
CONSTANT,Defines a variable with a fixed value that cannot be changed.
CONSTRAINT,"Defines rules (e.g., UNIQUE, PRIMARY KEY) that restrict table data."
CONSTRAINT_NAME,The name assigned to a constraint in a table definition.
CONTINUE,Skips the rest of the current iteration in a loop and proceeds to the next iteration.
CURRENT,Represents the current row in a cursor or the current timestamp.
CURSOR,A database object used to iterate over a result set row by row.
DATATYPE,"Specifies the type of a PL/pgSQL variable (e.g., INTEGER, TEXT)."
DEBUG,Used for logging and debugging PL/pgSQL functions.
DEFAULT,Assigns a default value to a function parameter or column.
DETAIL,Provides additional context for an error message.
DIAGNOSTICS,Retrieves runtime error details inside PL/pgSQL exception handling.
DUMP,"Used for debugging, capturing data structure information."
ELSEIF,Not a PL/pgSQL keyword (use ELSIF instead).
ELSIF,Specifies an additional condition in an IF statement.
ERRCODE,Returns the SQLSTATE error code of the most recent error.
ERROR,A message level used with RAISE to signal an exception.
EXCEPTION,Defines an error-handling block for handling runtime errors.
EXIT,Terminates a loop or function execution.
FETCH,Retrieves rows from a cursor into variables.
FIRST,Moves a cursor to the first row in a result set.
FORWARD,Moves a cursor forward through result rows.
GET,Used to retrieve error details in an EXCEPTION block.
HINT,Provides suggestions in error messages to help resolve issues.
IMPORT,Not a PL/pgSQL keyword (use EXECUTE for dynamic queries).
INFO,A message level used with RAISE for informational messages.
INSERT,Adds new records to a table using PL/pgSQL.
IS,"Used for condition checking, commonly in IF statements."
LAST,Moves a cursor to the last row in a result set.
LOG,A message level used with RAISE for logging purposes.
MESSAGE,The text associated with an error or notice.
MESSAGE_TEXT,Retrieves the textual content of an error message.
MOVE,Changes the position of a cursor within a result set.
NEXT,Moves a cursor to the next row in a result set.
NO,Used with SCROLL to restrict cursor movement.
NOTICE,A message level used with RAISE for non-critical notifications.
OPEN,Opens a previously declared cursor.
OPTION,"Specifies additional settings in PL/pgSQL queries (e.g., function volatility)."
PERFORM,Executes a function or command that does not return a value.
PG_CONTEXT,Retrieves the execution context of an exception in PostgreSQL.
PG_DATATYPE_NAME,The internal PostgreSQL name of a data type.
PG_EXCEPTION_CONTEXT,Provides detailed execution context information for exceptions.
PG_EXCEPTION_DETAIL,Provides detailed error information inside an EXCEPTION block.
PG_EXCEPTION_HINT,Provides hints on resolving an error in an EXCEPTION block.
PRINT_STRICT_PARAMS,Used for debugging strict parameter checking.
PRIOR,Moves a cursor to the previous row.
QUERY,A dynamically constructed SQL statement executed with EXECUTE.
RAISE,"Generates an error, notice, or warning in PL/pgSQL."
RELATIVE,Moves a cursor a specific number of rows from its current position.
RESULT_OID,The Object Identifier (OID) of the last inserted row.
RETURN,Exits a function and optionally returns a value.
RETURNED_SQLSTATE,Retrieves the SQLSTATE code from the last exception.
REVERSE,Iterates through a loop in reverse order.
ALL,"The right-hand side is a parenthesized expression, which must yield an array value. The left-hand expression is evaluated and compared to each element of the array using the given operator, which must yield a Boolean result. The result of ALL is “true” if all comparisons yield true (including the case where the array has zero elements). The result is “false” if any false result is found."
BEGIN,"Starts a PL/pgSQL block, grouping multiple statements together."
BY,Used in FOR ... BY loops to specify an increment step.
CASE,"Implements conditional branching, similar to IF-ELSE but in an expression form."
DECLARE,"Defines variables, constants, cursors, and record types inside a PL/pgSQL block."
ELSE,Specifies the alternative branch in an IF or CASE statement.
END,Marks the end of a PL/pgSQL block or a control structure like LOOP or CASE.
EXECUTE,Runs a dynamically constructed SQL statement inside PL/pgSQL.
FOR,Executes a loop a specific number of times or iterates through a query result.
FOREACH,Iterates over each element in an array.
FROM,Specifies the data source in a SELECT INTO or INSERT ... SELECT statement.
IF,Executes a block of statements conditionally.
IN,Used in FOR loops to iterate over a query result or an array.
INTO,Stores the result of a SELECT statement into a variable.
LOOP,Creates an unconditional loop that must be explicitly exited.
NOT,"Negates a condition in an IF, CASE, or WHERE clause."
NULL,Represents an unknown or missing value in PostgreSQL.
OR,"Combines multiple conditions in an IF, CASE, or WHERE clause."
STRICT,"Requires that a SELECT INTO statement returns exactly one row; otherwise, an error occurs."
THEN,"Follows an IF condition, defining what happens when the condition is true."
TO,Used in FOR ... TO loops to specify an endpoint.
USING,Supplies parameters to a dynamically executed SQL statement.
WHEN,Defines conditions inside a CASE statement.
WHILE,Creates a loop that continues executing as long as a condition remains true.
Vector Database,"A type of database optimized for storing and searching high-dimensional vector embeddings, commonly used in applications like similarity search, recommendation systems, and AI-driven search."
Vector Embedding,"A numerical representation of data (such as text, images, or audio) in a high-dimensional space that captures semantic relationships and similarities."
Similarity Search,A technique used in vector databases to find data points that are most similar to a given query based on distance metrics like cosine similarity or Euclidean distance.
Approximate Nearest Neighbor (ANN) Search,A method for efficiently finding the closest vectors to a query vector in large datasets using techniques like locality-sensitive hashing (LSH) or graph-based indexing.
HNSW (Hierarchical Navigable Small World),"A popular graph-based algorithm for fast approximate nearest neighbor search, leveraging hierarchical layers to optimize search efficiency."
Indexing,"The process of structuring data in a vector database to optimize search performance, reducing computational cost and improving retrieval speed."
Distance Metric,"A mathematical function used to measure the similarity between vectors, with common choices including Euclidean distance, cosine similarity, and Manhattan distance."
Quantization,A technique for compressing vector representations to reduce memory usage and improve retrieval speed by approximating floating-point values with lower-precision representations.
IVF (Inverted File Index),"A clustering-based indexing method used in vector databases where vectors are grouped into centroids, allowing for efficient nearest neighbor search by scanning relevant clusters."
Re-Ranking,"A process used after retrieving approximate matches to refine search results, often by computing exact distances or applying additional filtering criteria."
FAISS (Facebook AI Similarity Search),"An open-source library developed by Facebook AI for fast searching in large-scale vector databases, widely used for efficient nearest neighbor retrieval."
Scalar Quantization (SQ),"A technique that reduces the precision of vector components by mapping continuous values to discrete levels, helping in memory-efficient vector storage."
Product Quantization (PQ),"A more advanced quantization method that divides high-dimensional vectors into smaller subvectors and encodes them separately, allowing for faster and memory-efficient approximate nearest neighbor searches."
Vector Index,A data structure that enables fast retrieval of vectors in a vector database by organizing them efficiently based on similarity measures.
Cosine Similarity,"A distance metric that measures the cosine of the angle between two vectors, commonly used in NLP applications and similarity searches."
Euclidean Distance,"A distance metric that calculates the straight-line distance between two vectors in a multi-dimensional space, often used in machine learning and clustering tasks."
Manhattan Distance (L1 Distance),"A distance metric that sums the absolute differences between vector components, often used when movement is restricted to grid-like paths."
Locality-Sensitive Hashing (LSH),"A technique that hashes similar vectors into the same ""buckets"" to enable efficient approximate nearest neighbor searches."
Hybrid Search,"A retrieval approach that combines both traditional keyword-based search and vector similarity search, commonly used in modern AI-powered search engines."
Vector Dimension,"The number of numerical values (features) in a vector representation, determining the complexity and granularity of the stored embeddings."
K-Nearest Neighbors (KNN),A machine learning algorithm that identifies the closest k vectors to a given query vector based on a distance metric.
Embedding Model,"A deep learning model (such as Word2Vec, BERT, or CLIP) that converts raw data (text, images, audio) into vector representations for similarity searches."
Semantic Search,"A search methodology that retrieves results based on meaning rather than exact keyword matches, enabled by vector embeddings."
Dense Vector,"A vector where most elements have nonzero values, often used in deep learning-based embedding representations."
Sparse Vector,"A vector where most elements are zero, commonly used in traditional text-based retrieval methods like TF-IDF."
