Terms,Definitions,Section
Access Control,"Regulates access to data (read, modify, copy, delete).",A
Access Control List (ACL),A security policy listing user/process permissions for resources.,A
ACID,"Transaction properties: Atomicity, Consistency, Isolation, Durability. Ensures reliable transaction processing.",A
Active Record ORM,Maps database tables to application classes; records are class instances.,A
Adaptive Search,Dynamically adjusts indexing/search parameters based on query complexity.,A
ALIAS,Defines alternative names for PL/pgSQL function parameters.,A
ALL,Compares a value to all elements in an array using a specified operator.,A
ALTER,"Modifies existing database objects (tables, indexes).",A
ANALYZE,Updates PostgreSQL query optimization statistics.,A
AND,Logical operator for combining conditions.,A
Angular Distance,Similarity measure based on vector angles.,A
Anomaly,Data inconsistencies due to normalization violations.,A
Anti-caching,"Fetches data from persistent storage when missing in cache, aborting and retrying transactions.",A
Approximate Nearest Neighbor (ANN),Efficiently finds closest vectors using techniques like LSH or graph-based indexing.,A
Archive Recovery Mode,Instance state during recovery using archived WAL files.,A
Archiving,Copies WAL files to a failsafe location for Point-in-Time Recovery (PITR).,A
ARRAY,"Collection of elements of the same type, declared with square brackets.",A
ASSERT,Checks a condition; raises an error if false (debugging tool).,A
Asynchronous Replication,Master sends data to standby without waiting for confirmation.,A
Atomicity,Ensures transactions are all-or-nothing (no partial updates).,A
Attributes,Characteristics describing entities in a database (ER model).,A
Authentication,"Verifies user identity via credentials (e.g., username/password).",A
Authorization,Determines user/process permissions after authentication.,A
AUTO_INCREMENT,Automatically increments field values for new rows.,A
Autovacuum,PostgreSQL feature for automatic database cleanup/optimization.,A
Availability,"System uptime and operational capability, especially in distributed systems.",A
AVG(),Aggregates average values from a column.,A
B+ Tree,B-tree variant where data is stored only in leaf nodes.,B
BACKUP,Process of creating database backups.,B
BACKWARD,Moves a cursor backward through a result set.,B
BASE,"NoSQL database properties: Basically Available, Soft-state, Eventually consistent.",B
BCNF,"Boyce-Codd Normal Form: Meets 3NF, and every determinant is a candidate key.",B
BEFORE/AFTER,Specifies trigger execution timing (before/after an operation).,B
BEGIN,Starts a transaction block in PL/pgSQL.,B
BETWEEN,Checks if a value lies within a range.,B
Big Data,Storage/processing of large-scale datasets.,B
BigInt,Data type for large integers.,B
Binary Embeddings,Vectors with binary elements (0/1) for compact storage.,B
BLOB,"Stores binary large objects (e.g., multimedia files).",B
Blue-Green Deployments,Deployment strategy using dual infrastructure sets to minimize downtime.,B
BOOLEAN,Data type with TRUE/FALSE values.,B
Bottleneck,System performance limitation due to resource contention.,B
Brute-Force Search,Exhaustive search comparing every vector; accurate but slow for large datasets.,B
B-Tree,Balanced tree index structure for efficient data retrieval.,B
Cold Backup,A cold backup is a consistent copy of all files of the cluster using OS tools like cp or tar. The instance must be stopped during backup creation. Works only at the cluster level.,C
Cache,High-speed data storage layer for frequent access.,C
Cache Invalidation,Removes stale data from a cache.,C
Cache-Aside,Application-managed caching: fetches data from DB if not in cache.,C
Canary Releases,Gradual feature rollout to a subset of users/servers.,C
Candidate Key,Minimal superkey uniquely identifying table records.,C
CAP Theorem,"Distributed systems trade-off: Consistency, Availability, Partition Tolerance (pick two).",C
Cascade Delete,Automatically deletes related child records when a parent is deleted.,C
CASE,Conditional expression similar to IF-ELSE.,C
Cassandra,Distributed wide-column NoSQL database for large-scale data.,C
CAST,Converts data types.,C
CHECK Constraint,Enforces a boolean condition on table data.,C
Checkpoint,Ensures database files are in a consistent state; flushes data to disk.,C
CLOB,Stores large text data.,C
CLOSE,Closes a cursor to release resources.,C
Cluster,Group of nodes working together for scalability/availability.,C
COALESCE,Returns the first non-null value from a list.,C
Collation,"Rules for string comparison/sorting (e.g., case sensitivity).",C
Column Database,Stores data by column for analytical query efficiency.,C
COMMIT,"Finalizes a transaction, making changes permanent.",C
Composite Key,Key composed of multiple columns to uniquely identify records.,C
Concurrency,Handling multiple operations simultaneously without conflicts.,C
Connection Pooling,Reuses database connections to improve performance.,C
Consistency,Ensures data adheres to defined rules and constraints.,C
CONSTRAINT,"Enforces rules on table data (e.g., UNIQUE, PRIMARY KEY).",C
CONTINUE,Skips to the next loop iteration.,C
Cosine Similarity,Measures vector similarity using cosine of the angle between them.,C
COUNT(),Aggregates the number of rows.,C
CREATE,"Creates database objects (tables, indexes).",C
CROSS JOIN,Combines all rows from two tables (Cartesian product).,C
Cursor,Iterates over query results row by row.,C
Data Abstraction Layer,Hides database complexity from applications.,D
Data Dictionary,Metadata repository describing database objects.,D
Data Independence,Separates application logic from database structure/storage.,D
Data Warehouse,Optimized for analytical queries and historical data.,D
Database,Structured collection of data managed by a DBMS.,D
DBMS,Database Management System: software to create/manage databases.,D
Deadlock,Two transactions blocking each other indefinitely.,D
Dead Tuple,Unused PostgreSQL row requiring cleanup.,D
DECLARE,Defines variables/cursors in PL/pgSQL.,D
DEFAULT,Assigns a default value to a column/parameter.,D
DELETE,Removes rows from a table.,D
Denormalization,Introduces redundancy to improve read performance.,D
Dense Vector,Vector with mostly non-zero elements.,D
DISTINCT,Removes duplicate rows from query results.,D
Distributed Database,Data spread across multiple network nodes.,D
DML,"Data Manipulation Language: INSERT, UPDATE, DELETE.",D
Document Database,"Stores flexible JSON-like documents (e.g., MongoDB).",D
DROP,Deletes database objects.,D
Durability,Ensures committed transactions survive system failures.,D
Euclidean Distance,Straight-line distance between vectors.,E
EXCEPT,Returns rows from the first query not present in the second.,E
EXECUTE,Runs dynamically constructed SQL.,E
EXPLAIN,Displays query execution plan for optimization.,E
FOREIGN KEY,Links tables by referencing another tableвЂ™s primary key.,F
FULL OUTER JOIN,"Combines all rows from both tables, filling unmatched areas with NULL.",F
GRANT,Grants user privileges.,G
GROUP BY,Groups rows by specified columns for aggregation.,G
Hot Continuous Archiving,Consists of a base backup (copy of all cluster files) and subsequent WAL files storing data changes.,H
Hot Logical Backup (pg_dump),A logical backup captures data within a database or its parts using pg_dump. Creates a consistent snapshot while the instance runs.,H
HAVING,Filters groups after aggregation.,H
HNSW,Hierarchical Navigable Small World: Graph-based ANN algorithm.,H
Index,Data structure speeding up data retrieval.,I
INNER JOIN,Returns rows with matching values in both tables.,I
INSERT,Adds new rows to a table.,I
Isolation Level,"Defines transaction visibility (e.g., Read Committed, Serializable).",I
JSONB,PostgreSQL binary JSON storage with indexing.,J
LEFT JOIN,Returns all left table rows + matched right table rows.,L
LOCK,Restricts access to data during transactions.,L
Materialized View,Stores query results physically for faster access.,M
MAX(),Aggregates maximum column value.,M
MIN(),Aggregates minimum column value.,M
MongoDB,Document-oriented NoSQL database.,M
NF,First normal form: Each table column contains atomic values (no nested/multiple values).,N
NF,"Second normal form: Meets 1NF, and non-candidate attributes fully depend on the entire composite key.",N
NF,"Third normal form: Meets 2NF, and no transitive dependency exists between non-key attributes.",N
NF,"Fourth normal form: Meets BCNF, and non-trivial multivalued dependencies are determined by candidate keys.",N
Normalization,Reduces data redundancy through structured decomposition.,N
NoSQL,Non-relational databases optimized for scalability/flexibility.,N
NULL,Represents missing/unknown values.,N
OR,Logical operator for alternative conditions.,O
ORDER BY,Sorts query results.,O
PARTITIONING,Splits tables into manageable segments.,P
PRIMARY KEY,Uniquely identifies each row in a table.,P
Query Optimization,Improves query performance via execution plan analysis.,Q
RAID,Redundant storage configuration for fault tolerance.,R
REPLICATION,Copies data across nodes for redundancy/availability.,R
RIGHT JOIN,Returns all right table rows + matched left table rows.,R
ROLLBACK,Reverts uncommitted transaction changes.,R
SCHEMA,"Logical container for database objects (tables, views).",S
SELECT,Retrieves data from tables.,S
Sharding,Horizontal partitioning of data across servers.,S
SQL,Structured Query Language for managing relational databases.,S
SUM(),Aggregates sum of column values.,S
Transaction,Atomic unit of database operations (commit/rollback).,T
TRIGGER,Automatically executes code on data changes.,T
UNIQUE Constraint,Ensures column values are distinct.,U
UPDATE,Modifies existing rows in a table.,U
VACUUM,Reclaims storage occupied by dead tuples in PostgreSQL.,V
VIEW,Virtual table defined by a query.,V
WAL,Write-Ahead Logging for crash recovery.,W
WHERE,Filters rows based on conditions,W
